"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"93","Brickmasons and Blockmasons",2.5,2.88,2.88,3.12,3.25,2.12,2.62,1.25,2.38,3,2.25,1.75,2.38,2.38,2.88,3.25,2.12,2.75,2.62,2.12,2.38,1,3.12,2.75,2.25,1.5,2.12,2.62,2.88,2.12,2,1.38,3.12,2.12,2.12,"Importance"
"94","Bridge and Lock Tenders",2.38,3.12,2.88,3,3.25,2.38,2,1,2.62,2.88,2.5,1,1.12,2.5,2.12,3.38,2.75,3,3,1.38,2.75,1,2.88,2.75,2.38,1.38,2.88,3,3.12,1.12,2,1.12,2.88,2.62,2.88,"Importance"
"95","Broadcast News Analysts",3.62,4.12,3.5,3.5,4,1,1.12,1.12,2.88,3.38,2.75,1.5,1.62,3,2.25,3.62,3,2,2.25,2,3.12,1.88,1.12,3.88,1,1.38,2.88,4,4.25,2.62,2.62,1.5,3.5,1.12,3.75,"Importance"
"96","Broadcast Technicians",3.12,3.5,3.25,2.88,3.62,2.88,2.75,2.12,2.5,3.25,2.75,1.62,2,2.5,2.62,3.5,1.88,2.88,3.5,1.88,2.25,1.88,2.88,3.25,2.5,1.75,2.38,2.88,3.38,2.88,2.62,2,3.12,3,3.25,"Importance"
"97","Brokerage Clerks",3,3.88,2.88,2.88,3.38,1,1,1,2.5,3,2.62,2,1.88,2.62,3,3.12,2.88,1.12,1.88,1.75,2.5,2,1.12,3.75,1,1,3,3,3.88,2.88,2.5,1,3.5,1,3.12,"Importance"
"98","Brownfield Redevelopment Specialists and Site Managers",3.12,3.75,3.88,3.88,4,1,1.38,1,2.88,3.75,2.75,3.38,3.12,3.25,3.5,3.5,3.62,1.88,2.5,2.5,3.38,1.62,2.62,3.88,1,2.62,2.88,3.38,4,3.5,3.5,2.12,3.5,1.88,3.75,"Importance"
"99","Budget Analysts",3.25,4,3.5,3,3.75,1,1,1,2.5,3.62,2.5,3,2,2.62,3.5,3,2.38,1,1.62,3,2.38,1.5,1,4,1,1.5,2.62,2.88,3.88,3.12,2.88,1.5,3.38,1,3.38,"Importance"
"100","Bus and Truck Mechanics and Diesel Engine Specialists",2.75,2.88,3,3,3.25,3.25,3.12,2.25,2.38,3.12,2.75,1.62,1.75,2.38,2,3,2.12,3.38,3.38,1.75,2.38,1.62,3.25,2.88,3.62,1.88,2.38,2.75,3.12,2.5,2.62,1.75,3,3.62,2.5,"Importance"
"101","Bus Drivers, School or Special Client",2.5,3.25,2.75,2.62,3.12,2.25,2,1,1.62,3.12,1.75,1.38,1.38,1.38,2.12,3.12,2.62,3.5,3.25,1.38,2.5,1,2.5,2.75,2.12,1.12,3,3.38,3.12,1.5,2,1,2.75,2.5,2.5,"Importance"
"102","Bus Drivers, Transit and Intercity",2.5,3.25,2.62,2.88,3.12,2,1.38,1,1.88,2.75,2.12,1.75,1.75,2.12,2,2.88,2.5,3.88,3.62,1,2.5,1,2.5,2.75,1.62,1,3.12,3.12,3.12,1.88,1.88,1.38,3.25,2.38,2.75,"Importance"
"103","Business Continuity Planners",3.5,3.62,3.88,3.62,4,1,1.38,1,3.12,3.75,3.38,2.88,2.62,3,2.75,3.5,3,1.25,2.38,2.5,3.12,1.75,2.88,3.62,1,1.25,3.38,3.38,3.62,3.75,3.5,2,3.12,2,3.75,"Importance"
"104","Business Intelligence Analysts",3.75,3.88,3.38,3.25,4,1.38,1.25,1.12,2.88,3.62,3,2.38,2.25,2.75,3.25,3.25,2.88,1.25,1.75,2.25,3.12,2.62,2,3.88,1,1.88,2.75,3.38,3.75,3.5,3.38,2.25,3.5,1.25,3.5,"Importance"
"105","Business Teachers, Postsecondary",3.75,3.88,3.5,3,3.88,1,1,1,4,3.38,3.88,1.75,2,2.62,3,3.38,2.5,1.12,1.75,2.5,3,1.75,1.5,4.12,1,2,2.88,3.12,4.38,3,3,1.62,3.25,1,3.88,"Importance"
"106","Butchers and Meat Cutters",2.5,3.25,2.75,3,3.25,1,1.25,1,3,2.88,2.38,2,1.88,2.88,2.5,3.38,2.88,2.5,2.62,1.88,3.12,1,2.5,2.88,1,1.38,3.12,3.12,3.12,2.25,2.25,1,3,2.12,2.38,"Importance"
"107","Buyers and Purchasing Agents, Farm Products",3.12,3.75,3.25,3.12,3.88,1,1,1,2.5,3.38,2.5,2.75,2.88,3,3,3.12,3.38,1.88,2.25,1.88,3.38,1.5,2.25,3.38,1.12,1.62,3,3.12,3.88,3,2.62,1.75,3.12,1.62,3.12,"Importance"
"108","Cabinetmakers and Bench Carpenters",2.75,2.88,2.88,2.75,3,2.88,3,1.62,2.25,3,2.25,1.75,1.75,2.5,2.88,3.12,2,3.12,3.5,3,2.25,1.62,3.38,2.88,2.88,1.38,2.38,2.62,3,2,2.25,1.88,3,3,2.38,"Importance"
"109","Camera and Photographic Equipment Repairers",3,3.12,3.12,2.25,3.5,3.38,3,1.88,1.62,3.12,2.62,2,2.25,2,2.38,2.88,2,2.12,3,1.88,2.12,1.75,3.38,3.12,3.75,2.12,2.38,2.75,3,2.12,2.12,2.12,3.12,3.88,2.62,"Importance"
"110","Camera Operators, Television, Video, and Motion Picture",2.88,3.5,3,3.38,3.25,1.75,2.5,1.12,2.25,3.12,2.5,1.5,2.12,2.5,2.12,3,2,3.25,3,2.12,2.5,1.38,3,3,1.62,1.38,2.62,2.88,3.38,2.25,2.38,2.12,3.12,2.38,2.5,"Importance"
"111","Cardiovascular Technologists and Technicians",3.12,3.88,3.12,3,3.75,2.5,2,1,3,3.25,2.88,1.75,1.88,2.5,2.62,3.75,2.62,3.12,3.75,1.62,2.75,1.62,2.75,3.62,2.25,3,3.25,3.62,3.75,2.38,2.25,1.75,3,2.5,3.12,"Importance"
"112","Career/Technical Education Teachers, Middle School",3.38,3.88,3.12,3.38,3.88,1.75,1.75,1,4.12,3.25,3.88,1.75,2.12,2.75,2.38,3.88,2.75,2,2.25,2.88,2.75,1.62,2.5,4,1.75,1.88,3,3.62,4,3,3,1.75,3,1.88,3.62,"Importance"
"113","Career/Technical Education Teachers, Secondary School",3.62,4,3.75,3.75,3.62,1.12,1.38,1.12,4.25,3.5,3.62,1.88,2.25,3.12,2.62,3.88,3.38,2.25,2.5,1.25,3.38,1.38,2.25,4,1.12,1.5,3.75,3.62,4,2.88,3,1.75,3.62,1.88,4,"Importance"
"114","Cargo and Freight Agents",2.88,3.62,3.12,3,3.25,1,1,1,2.5,2.88,2.12,1.38,1.88,2.25,2.25,3.25,3,1,1.75,1.88,2.75,1.25,2.12,3.12,1,1,3.25,3,3.88,2.38,2.25,1.25,3.12,1.62,3,"Importance"
"115","Carpet Installers",2.62,2.88,2.75,3.12,3,1.75,2.25,1.38,2.5,2.88,2.38,1.5,2,2.5,3,3.12,2.25,2.5,2.62,2,2.38,1,3,2.62,1.88,1,2.62,2.88,2.88,2,2.12,1.62,3,2.12,2,"Importance"
"116","Cartographers and Photogrammetrists",3.38,3.5,3.25,3.12,3.5,1.12,1.12,1,2.88,3.12,2.75,1.5,1.62,2.62,2.75,3.12,2.62,1.25,2.25,1.38,2.75,1.75,2.25,3.75,1,1.88,2.62,2.88,3.12,3,3,1.88,3.38,1.88,3.5,"Importance"
"117","Cashiers",2.38,3.38,2.12,2.62,2.88,1,1,1,2.5,2.75,2.12,1.12,1.12,2.38,3.12,2.75,2.5,1.88,1.88,1,2.5,1.38,1,2.62,1,1,3.25,3,3.25,2.12,2.25,1,2.75,1,2.38,"Importance"
"118","Cement Masons and Concrete Finishers",2.38,3.12,2.75,3.12,3.12,1.38,2,1.38,2.62,3.12,2.5,1.62,2,2.5,2.62,3.25,1.88,2.75,2.62,1.38,2.25,1,3,2.38,1.38,1.25,2.25,2.5,3,2.12,2.25,1.5,3,2.12,2,"Importance"
"119","Chefs and Head Cooks",3.38,3.5,3.12,3.75,3.5,1.88,2,1,3.25,3.5,3,3,3.12,3.62,3,3.88,3.25,2.25,2.75,2.38,3.12,1.25,3.12,3,1.62,1.62,3.38,3.62,3.75,2.88,2.75,1.75,3.62,2,2.88,"Importance"
"120","Chemical Engineers",3.62,3.38,4,3,4,1,2.12,1,2.88,3.88,2.88,2.5,2.5,2.88,3.75,3.25,2.75,1.62,3,3.5,2.88,2.12,2.88,3.62,1,4.25,2.62,2.88,3.5,3.88,3.62,2.75,3.12,3.12,3.38,"Importance"
"121","Chemical Equipment Operators and Tenders",3,3.38,3.12,3,3.38,2.75,2.38,1,2.62,3.38,2.75,1.5,2,2.5,2.88,3.75,2,3.88,3.88,2,2.12,1.62,3,3.38,2.38,2.62,2.5,2.75,3.12,2.75,2.75,1.75,3,3,3,"Importance"
"122","Chemical Plant and System Operators",3.25,3.38,3.25,2.88,3.5,2.75,2.12,1,2.62,3.25,2.88,1.88,1.88,2.75,2.62,3.62,2.25,4,4.12,2.12,2.38,1.75,3.62,3.25,2.75,2.88,2.5,2.62,3.12,2.62,2.88,1,3.25,2.88,3,"Importance"
"123","Chemical Technicians",3,3.62,3.12,3,3.88,2.88,2.62,1.12,3.12,3.25,3,2,2.25,2.62,3.12,3.75,2.62,2.88,3.12,2.5,2.5,1.5,3.25,3.88,2.75,4,2.88,3,3.38,2.88,2.88,2.12,3,2.88,3.62,"Importance"
"124","Chemistry Teachers, Postsecondary",3.88,4,3.75,3.12,4,1.12,1.5,1,3.88,3.5,3.88,1.88,2,2.88,3.12,3.75,2.38,1.12,1.88,2.62,2.88,1.75,2.12,4,1,4,3,3.12,4.12,3.12,3.12,1.62,2.88,1.88,4,"Importance"
"125","Chemists",3.38,3.88,3.75,3,4,3,2.62,1,3,3.12,2.88,2.12,2.38,2.88,3.88,3.25,2.25,2.38,3,2.5,2.62,2.12,3.38,4,2.38,4.25,2.75,3,3.5,3.12,3.25,1.88,2.88,2.75,3.62,"Importance"
"126","Chief Executives",4,4.12,4.38,4.25,4.38,1,1.12,1,3.12,4.5,3.12,4.12,3.88,4.25,3.25,4.12,4.12,1.75,1.88,3.12,4.12,1.62,1.75,4.12,1,1.88,3.12,4.25,4.38,4.12,4.12,1.75,4,1,4,"Importance"
"127","Chief Sustainability Officers",3.5,3.88,4,3.62,4,1,1.12,1,3.25,3.75,3.38,2.62,2.38,3.38,2.75,3.62,2.88,1.62,2.25,2.62,3.62,1.62,2.25,4,1,1.75,3.25,3.75,4,3.62,3.62,1.62,3.38,1.12,3.88,"Importance"
"128","Child, Family, and School Social Workers",3.38,4.62,3.62,3.5,4,1,1,1,3.25,3.62,3.12,1.75,1.75,3.25,2,4,3.5,1.75,2,3.12,3.5,1.38,1.25,4.25,1,3,4,4.12,4.62,3,2.75,1.38,3.62,1,3.88,"Importance"
"129","Childcare Workers",3,3.25,3,3.25,3.38,1,1,1,3,3.25,2.88,1,1.25,2.38,2.38,3.5,2.88,1,2.12,1,3,1,2.25,3.12,1,1.12,3.5,3.38,3.5,2.38,2.38,1.75,3.12,2,3.12,"Importance"
"130","Chiropractors",3.38,4,3.62,3.12,3.88,1,1,1,2.88,3.5,2.88,1.88,1.88,2.88,2.38,3.12,2.62,1.88,1.88,2.12,3,1.5,2,3.88,1,3.38,3.5,3.75,3.88,3.12,3.12,1.75,3.25,1.38,3.75,"Importance"
"131","Choreographers",3.38,4.12,3.12,4,3.62,1,1.12,1,4,3.62,3.38,1.62,1.62,3.5,1.5,3.88,3.25,1,1.5,2.75,3.12,1,1.12,3.62,1,1.38,3.25,3.75,4.12,2.5,2.62,1.75,3.88,1,3,"Importance"
"132","City and Regional Planning Aides",3.12,3.75,3.25,3.12,3.5,1,1,1,2.5,3.5,2.25,1.75,1.75,2.5,2.75,3.25,2.88,1.88,1.88,2.12,2.62,1.38,1.12,3.88,1,2.38,3,3.25,3.75,3.12,2.88,1.38,3.25,1,3.5,"Importance"
"133","Civil Drafters",3.12,3.62,3.12,3.12,3.38,1,1.38,1,2.62,2.88,2.25,2,2,2.62,3.38,3,2.5,1,2.38,3.12,2.5,1.62,2.75,3.5,1,2.12,2.62,2.88,3.38,2.62,2.5,1.5,3.12,1.62,3.38,"Importance"
"134","Civil Engineering Technicians",2.88,3.62,3.12,3,3.62,1,1.12,1,2.62,2.75,2.38,2.12,2,2.62,3.12,3.12,2.62,2.38,2.5,2.75,2.5,1.38,2.25,3.88,1,2.38,2.62,2.88,3.25,2.62,2.5,1.62,3,1.88,3.38,"Importance"
"135","Civil Engineers",3.38,3.88,3.88,3.25,4,1.75,1.38,1,3.12,3.38,3.12,2.88,3.12,3,3.88,3.25,3,1.38,2.25,3.88,3.12,2,2.38,4,2.38,3.62,3,3.12,3.88,3.88,3.38,2.38,3.75,1.38,3.12,"Importance"
"136","Claims Examiners, Property and Casualty Insurance",3.25,3.75,3.38,3.25,3.75,1,1,1,2.88,3.5,2.62,2.12,1.75,2.75,2.88,3.38,3.62,1.12,2.12,1.12,3.12,1.38,1.88,3.88,1,1,3.25,3.38,3.75,2.75,2.38,1.38,3,1.5,3.88,"Importance"
"137","Cleaners of Vehicles and Equipment",2,2.38,2,2.25,2.25,2.25,2.25,1.5,1.75,2.25,1.62,1,1.62,1.75,1.25,2.62,1.88,3.25,2.88,1.25,1.88,1,3.12,2.12,2.12,1.12,2.12,2.38,2.62,1.88,1.25,1,2.75,2.12,1.38,"Importance"
"138","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2.38,2.75,2.5,2.5,2.88,1.75,1.5,1,2.38,2.88,2.25,1,1,2.38,1.75,3,2,3.25,3.12,1.5,2.12,1,2.5,2.5,1.38,1.75,2.12,2.62,2.62,1.88,2,1,2.75,2.12,2.38,"Importance"
"139","Clergy",3.88,4.38,3.5,3.5,3.75,1,1,1,4,4,3.75,2.88,3,3.12,2.38,3.38,3.88,1.75,1.75,1.62,3.88,1.5,1.25,4.12,1,1.62,4.25,4.25,4.62,3,3.25,1.5,3.62,1,4.12,"Importance"
"140","Climate Change Analysts",3.62,3.88,3.75,2.88,3.75,1,1.25,1,3,3.38,3.12,2,1.88,2.88,3,3.25,3.12,1,1.62,2.12,3.25,1.62,1.38,4.25,1,2.5,2.88,3.12,3.88,3.38,3.5,1.75,3.5,1,4.12,"Importance"
"141","Clinical Data Managers",3.12,3.75,3.38,3.25,3.88,1,1.62,1,2.88,3.25,2.75,1.88,2,3,3.12,3.5,2.5,1.5,2.12,2.62,2.62,3,2.38,3.62,1,2,2.75,3,3.62,3.12,3,1.88,3.38,1.38,3.5,"Importance"
"142","Clinical Nurse Specialists",4,4,3.75,4,4,1,1.25,1.25,3.88,3.88,3.5,1.5,2,3.25,2.88,3.88,3.25,2.25,2.75,3.25,3.5,1.25,2.38,4,1,3.75,4,4,4.12,3.12,3.38,1.88,3.75,2,3.88,"Importance"
"143","Clinical Psychologists",4,4.75,4.12,3,4.12,1,1,1,3.25,3.75,3.12,1.5,1.5,2.88,2.25,3.62,3,1,1.38,2.88,3.38,1.25,1.5,4,1,3.5,4,4.75,4.75,3.12,2.88,1.38,3,1.38,4,"Importance"
"144","Clinical Research Coordinators",3.5,4,3.5,4,3.75,1,1,1,3.25,3.62,3,2.5,2.88,3.62,2.62,3.62,3.25,1,1.88,1.38,3.25,1.62,1.38,4,1.12,2.75,3.38,3.5,3.88,2.62,2.88,1.5,3.62,1.12,4,"Importance"
"145","Coaches and Scouts",3.75,4,4,4,4,1,2,1,4.62,4.12,4.12,2.12,2.75,4.25,2.12,4.25,3.75,1.88,2,2.62,3.88,1,2.5,3.75,1,1.88,3.75,4,4.5,3.75,3.88,1.88,4,1.62,3.5,"Importance"
"146","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2.62,2.75,2.88,3,3.12,3,2.88,1.25,2.38,3,2.5,1.62,2,2.25,2.25,3.25,2.12,3.38,3.88,1.88,2.25,1,3.5,2.88,3,1.38,2.25,2.88,2.88,2.12,2.12,1.62,3,3.12,2.62,"Importance"
"147","Coil Winders, Tapers, and Finishers",2.25,2.88,2.38,2.62,2.88,1.5,1.5,1.38,2.25,2.5,2,1,1.25,1.88,1.75,2.88,1.88,3,3.12,1.5,1.88,1,2.12,2.88,1.38,1.12,1.75,2.62,2.75,2,1.88,1.62,2.25,2.12,2.12,"Importance"
"148","Coin, Vending, and Amusement Machine Servicers and Repairers",2.5,3.25,3.25,2.75,3.38,3.5,2.5,2.25,2.5,3.38,2,1.88,1.75,2.25,2,3.12,2,3.25,3.5,1.5,2.38,1,3.12,2.88,3.5,1.88,3,3.12,3,2.62,2.62,1.12,3.38,3.38,2.88,"Importance"
"149","Combined Food Preparation and Serving Workers, Including Fast Food",2.62,3.38,2.38,3.12,2.75,1,1,1,3,2.88,2.75,1.75,2,2.5,2.75,3.12,2.25,2,2.12,1.12,2.5,1.38,2.25,2.62,1,1,3.25,3.12,3.25,1.75,2,1.38,2.5,1.62,2.12,"Importance"
"150","Commercial and Industrial Designers",3.12,3.88,3.62,3,3.88,1,1.75,1.25,2.88,3.38,2.5,2,2,2.88,2.75,3.12,2.62,1.5,2.38,3.38,2.88,1.62,2.75,3.75,1,2.5,2.5,3.12,3.75,3,2.88,3,3.12,1.5,3.12,"Importance"
"151","Commercial Divers",3,3.75,3.25,3.25,3.88,3.25,3,2.5,3.12,3.25,2.88,1.62,2,2.75,2.12,3.12,3,3.38,3.75,1.88,2.88,1,3.5,3.25,3.25,2.5,2.75,3,3.62,2.88,2.62,1.75,3.38,3.25,3,"Importance"
"152","Commercial Pilots",3.62,3.88,3.5,3.38,4,1.62,1.12,1,3,3.75,3.25,1.62,1.88,2.75,2.75,4,2.38,4.62,4.12,1.75,2.75,1.62,2.62,3.62,1.25,2.88,2.88,3,3.62,3.12,2.75,1.5,3,3,2.88,"Importance"
"153","Communications Teachers, Postsecondary",3.75,4,3.5,3.12,4,1,1,1,4.25,3.5,4,1.88,2,2.88,2,3.62,2.62,1,1.62,2.38,3,1.62,1.5,4,1,2,3,3.38,4.25,3,3,1.62,3.12,1,4,"Importance"
"154","Community Health Workers",3.62,4.12,3.5,3.62,3.75,1,1,1,3.5,3.38,3.38,1.88,1.88,3.25,2.25,3.38,3,1.88,2.12,1.38,3.5,1.5,1.88,3.88,1,1.25,3.88,4.12,4.12,3.38,3.12,1.5,3.38,1.62,4,"Importance"
"155","Compensation and Benefits Managers",3.5,4,3.25,3.12,3.88,1,1,1,3.12,3.75,2.88,3.25,2,3.5,3,3.38,3.12,1,1.5,3,3.12,1.38,1.5,4,1,1.38,3.12,3.5,4,3.38,3.25,1.5,3.62,1,3.5,"Importance"
"156","Compensation, Benefits, and Job Analysis Specialists",3.25,4,3.38,3,3.88,1,1,1,3,3.25,2.88,2.25,2,2.88,3,3.25,3,1.12,1.75,3.25,2.88,1.88,1.38,3.75,1,2.5,2.75,3.25,3.75,3.38,3,1.62,2.88,1,3.38,"Importance"
"157","Compliance Managers",3.62,3.88,3.25,3.75,4,1,1,1,3.38,3.5,3.38,2.12,1.88,2.88,2.12,3.88,3.38,1.25,2,1.88,3.5,1.62,1.75,4,1,1.38,2.88,3.62,3.62,3,3,1.62,3.25,1,3.75,"Importance"
"158","Computer and Information Research Scientists",3.38,3.5,3.88,3,3.75,1.12,1.62,1,2.62,3.62,2.75,2.5,2.38,3,3.12,3.12,2.5,1.75,2.5,3.25,2.75,3.5,1.75,3.5,1,3.12,2.75,3,3.38,3.75,3.75,2.88,3.5,2.5,3.38,"Importance"
"159","Computer and Information Systems Managers",3.25,4,3.88,3.75,4,2.25,2.5,1.12,3.5,3.62,3.25,3,2.88,3.5,2.75,3.88,3.38,2.38,3.12,3.25,3.12,2.75,2.62,4.25,2.5,2.12,3.12,3.62,3.75,3.5,3.5,2.5,3.5,2.62,3.88,"Importance"
"160","Computer Hardware Engineers",3.62,3.75,3.5,3,4,2.25,2.12,1.75,2.75,3.38,2.75,1.75,1.88,2.75,2.88,3.12,2.12,1.5,2.88,3.25,2.75,2.5,2.75,4,2.12,3.38,2.75,2.88,3.75,3.25,3.12,2.38,3,2.62,3.62,"Importance"
"161","Computer Network Architects",3.56,3.62,3.56,3.12,3.5,2.5,2.88,1.94,2.94,3.25,2.94,2.38,2.5,2.88,2.81,3.19,2.5,2.31,3.06,3.62,2.94,2.88,3,3.38,2.38,2.5,3,2.69,3.5,3.62,3.5,3.12,3.12,2.94,3.19,"Importance"
"162","Computer Network Support Specialists",3.25,3.5,3.25,2.75,3.75,2.62,2.5,2.75,2.62,3.38,2.62,1.5,2,2.25,2.12,3.25,2.25,2,3,1.88,2.25,2.25,2.88,3.38,2.88,1.88,2.5,2.88,3.25,3.12,3,2.12,3,3.12,3,"Importance"
"163","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",3.25,3.12,3.5,3.12,3.38,2.38,2.5,1.38,2.75,3.25,2.75,2.12,2.5,2.75,3.25,3.5,2.62,3,3.5,3,2.62,4.12,3.12,3.25,2.25,2.12,2.25,2.88,3,3.25,2.88,2.25,3,2.88,3.25,"Importance"
"164","Computer Operators",3.12,3.38,3.25,3.12,3.25,1.38,1.38,1.25,2.62,3.12,2.62,2,2.38,2.75,2.25,3.5,2.5,3.25,3.75,1.75,2.75,2.62,3.12,3.62,1.38,1.75,3,3,3.25,3.12,2.75,2,3.25,2.88,3.12,"Importance"
"165","Computer Programmers",3.12,3.5,3.62,2.88,3.62,1,1.25,1.12,2.25,3.38,2.25,1.5,1.62,2.5,3.12,3,2.12,1.25,2.25,3.25,2.5,4.5,3.5,4,1.12,2.5,2.38,2.88,3,3.12,3.25,2.62,3.25,1.62,3.12,"Importance"
"166","Computer Science Teachers, Postsecondary",3.75,3.62,3.62,3.12,3.88,1.62,1.75,1,4.12,3.75,3.88,1.88,2.12,2.75,3.25,3.5,2.5,1.62,1.75,2.38,2.75,2.75,2,4,1.12,2.5,2.88,3.5,4.12,3,3.12,2,3.38,1.5,4,"Importance"
"167","Computer Systems Analysts",3.25,3.5,3.38,3,3.75,1.5,2.25,1.75,2.88,3.38,2.75,2.12,2.12,2.62,3,3.12,2.5,1.88,2.75,3.25,3,3.38,3.25,3.5,1.25,2.5,3,3.12,3.5,3.5,3.38,3.12,3.12,3.12,3.38,"Importance"
"168","Computer Systems Engineers/Architects",3.5,4.12,4,3.25,4.12,2.25,2.38,1.62,3.12,3.38,3,2.38,2.25,2.88,2.75,3.5,2.88,1.75,2.62,3.88,3,3.38,3.25,4,2.25,2.75,2.75,3,3.88,3.62,3.75,2.25,3.38,2.5,3.88,"Importance"
"169","Computer User Support Specialists",3.25,4,3.5,3.12,3.75,2.38,2,2,3.25,3.25,2.75,1.75,1.75,2.75,2.38,3.25,2.75,2.62,2.75,2.62,2.62,2,2.62,3.88,2.38,2.12,3.12,3.12,4,3,2.62,1.88,3.38,2.75,3.62,"Importance"
"170","Computer-Controlled Machine Tool Operators, Metal and Plastic",3,3.12,3.25,3,3.62,3,3,2.25,2.88,3.12,2.75,2,2.12,2.88,2.88,3.75,2.12,3.5,4,2.75,2.12,2.75,3.62,3.25,3,2,2.12,2.88,3,2.88,2.75,2,3.12,3.12,2.75,"Importance"
"171","Computer, Automated Teller, and Office Machine Repairers",3,3.62,3.38,3,3.5,3.25,3.25,3,2.62,3,2.62,1.75,2.12,2.5,1.88,3,2.75,2.75,3.12,2.12,2.5,2.12,3.25,3.12,3.62,1.88,3,2.88,3.25,2.75,2.38,2,3.25,3.38,3,"Importance"
"172","Concierges",2.88,4,3.12,3.75,3.38,1,1,1,2.25,3,2.25,1.75,1.88,2.62,2.12,3,2.62,1.62,1.75,1.38,2.75,1.5,1.5,3.12,1,1,4.12,4,4,2.25,2.12,1.5,3,1,2.88,"Importance"
"173","Construction and Building Inspectors",3.12,3.88,3.5,3,3.75,1,1.25,1,2.88,3.38,2.88,1.75,1.75,2.88,3,3.12,2.75,2.25,2.88,2.12,2.75,1.5,3.38,3.88,1,2.5,2.75,2.88,3.62,3,3,1.75,3,2.12,3.38,"Importance"
"174","Construction Carpenters",3,3.12,3,3,3,2.12,2.88,2,2.38,3,2.38,1.75,2,2.5,2.62,3.12,2.12,2.62,2.88,2.25,2.25,1,2.62,3,2.5,1.75,2.62,2.88,3.12,2.25,2.12,1.88,3,2.62,2.38,"Importance"
"175","Construction Laborers",2.38,3.12,2.88,3,2.88,2.25,2.5,1.88,2.5,2.38,2.25,1.38,1.5,2.25,1.75,2.62,2.12,2.88,3,1.62,2.12,1,2.25,3,2.25,1.62,2.25,3,3,1.5,1.62,1.5,2.62,2.25,2.38,"Importance"
"176","Construction Managers",3.62,3.88,3.75,3.75,3.88,1,1.12,1,2.88,3.5,2.88,3.38,3.25,3.75,3.25,3.62,3.62,2.12,2.75,3.38,3.12,1.5,3,3.75,1,2.12,3,3.38,3.88,3.12,3.12,1.88,3.75,2,3.38,"Importance"
"177","Continuous Mining Machine Operators",2.62,2.88,3,2.75,3.25,3.25,2.38,1.38,2.25,3.12,2.38,1,1,2.5,1.38,3.12,2.25,4,3.88,1.62,2.12,1,2.62,2.62,3.25,1.25,2.12,2.75,2.88,2.25,2.25,1.25,2.88,3.25,2.12,"Importance"
"178","Control and Valve Installers and Repairers, Except Mechanical Door",2.62,3,3,2.88,3.25,3,2.62,1.88,2,3,2.25,1.5,1.62,2.12,1.75,3,2.12,3.12,3.25,1.62,2.12,1.38,2.75,2.88,2.88,1.88,2.5,2.88,2.88,2,2.12,1.62,2.88,2.88,2.5,"Importance"
"179","Conveyor Operators and Tenders",2.62,3.12,3,2.88,3.12,2.75,2.38,1.12,2.62,2.88,2.12,1.25,1.62,2.62,2.12,3.38,2.38,3.62,3.62,2.38,2.5,1.25,2.75,3,2.62,2.25,2.5,2.88,3,2.62,2.62,1.75,3,2.75,2.62,"Importance"
"180","Cooks, Fast Food",2.38,3.12,2.25,2.62,2.75,1,1.25,1,2.38,2.38,1.88,1.5,1.38,2,2.12,2.62,2.38,2.12,2.25,1.25,2.25,1,2.12,2.62,1,1.25,3,2.62,3,1.75,1.75,1.12,2.5,1.38,2.12,"Importance"
"181","Cooks, Institution and Cafeteria",3,3,3,3,3,1.25,1.25,1,2.88,3.12,2.5,2.5,2.88,3,2.75,3.25,2.88,2.75,3.12,2,2.75,1.25,3.12,3.12,1,1,3.12,2.88,3.12,2.62,2.5,1.25,3.38,1.88,2.75,"Importance"
"182","Cooks, Private Household",3.25,3.12,3,3,3.25,1,1.38,1,1.38,3.38,2.5,2.75,3.25,2.5,2.5,3.12,2.38,2.62,2.62,2.38,2.88,1.5,2.38,3.38,1,1.38,3.38,3,3,2.5,2.12,1.75,3.5,1.88,2.62,"Importance"
"183","Cooks, Restaurant",2.62,3,2.38,3.12,2.88,1.12,1.75,1,2.25,2.88,2.25,2.12,2.38,2.62,2.5,3.12,2.25,2.38,2.75,1.5,2.12,1,2.88,2.62,1,1.25,2.38,2.75,2.88,2.12,2,1.38,2.62,1.62,2.38,"Importance"
"184","Cooks, Short Order",2.5,3.38,2.75,3.12,2.75,1,1.25,1,2.25,2.62,2.25,1.88,1.88,2.25,2.25,2.88,2.5,1.12,2.25,1,2.5,1,2,2.88,1,1,3.12,2.75,3,1.25,2.12,1.62,3.12,2,2.38,"Importance"
"185","Cooling and Freezing Equipment Operators and Tenders",3,3.25,3.5,2.88,3.75,3.12,3,1.62,2.62,3.12,2.5,2,2.25,2.62,2.5,3.88,2.25,3.62,4,2,2.5,1.62,3.25,3.25,3,1.5,2.38,2.88,3,2.25,2.38,1.38,3,3.38,3.12,"Importance"
